"About the data: Analytical views - Source Title - Exported on Oct 25, 2022. Criteria: My groups is US YES federal funders; Publication Year is 2017 or 2018 or 2019 or 2020 or 2021; Country of Funder is United States; Research Organization is Iowa State University; Publication Type is not Preprint. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,
ID,Name,Rank FF,FF Publications,Rank All,All Publications,Rank %,Percentage,All OA,Bronze,Closed,Gold,Green,Hybrid,sum,delta,% OSTP Bronze,% OSTP Closed,% OSTP Gold,% OSTP Green,% OSTP Hybrid
jour.1320488,Physical Review B,1,242,2,256,37,94.53125,239,0,3,0,75,164,242,0,0,1.239669421,0,30.99173554,67.76859504
jour.1320496,Physical Review D,2,147,5,149,27,98.65771812,147,0,0,0,5,142,147,0,0,0,0,3.401360544,96.59863946
jour.1052482,Journal of High Energy Physics,3,145,6,148,30,97.97297297,145,0,0,145,0,0,145,0,0,0,100,0,0
jour.1049394,European Physical Journal C,4,133,7,135,29,98.51851852,133,0,0,133,0,0,133,0,0,0,100,0,0
jour.1045337,Scientific Reports,5,109,4,188,223,57.9787234,109,0,0,109,0,0,109,0,0,0,100,0,0
jour.1018277,Physical Review Letters,6,104,8,108,32,96.2962963,104,0,0,0,12,92,104,0,0,0,0,11.53846154,88.46153846
jour.1037553,PLOS ONE,7,98,3,191,257,51.30890052,98,0,0,98,0,0,98,0,0,0,100,0,0
jour.1043282,Nature Communications,8,76,10,93,113,81.72043011,76,0,0,76,0,0,76,0,0,0,100,0,0
jour.1094748,Physics Letters B,9,73,15,74,28,98.64864865,73,0,0,73,0,0,73,0,0,0,100,0,0
jour.1320490,Physical Review C,10,57,20,57,1,100,57,0,0,0,9,48,57,0,0,0,0,15.78947368,84.21052632
jour.1081898,Journal of the American Chemical Society,11,51,26,53,34,96.22641509,38,0,13,0,36,2,51,0,0,25.49019608,0,70.58823529,3.921568627
jour.1045668,Frontiers in Plant Science,12,50,12,82,210,60.97560976,50,0,0,50,0,0,50,0,0,0,100,0,0
jour.1082971,Proceedings of the National Academy of Sciences of the United States of America,13,49,22,56,66,87.5,49,22,0,0,12,15,49,0,44.89795918,0,0,24.48979592,30.6122449
jour.1091000,Journal of Animal Science,13,49,1,476,350,10.29411765,48,22,1,0,14,12,49,0,44.89795918,2.040816327,0,28.57142857,24.48979592
jour.1134140,The Astrophysical Journal,13,49,24,54,51,90.74074074,49,12,0,0,33,4,49,0,24.48979592,0,0,67.34693878,8.163265306
